income,dependents,withholding,filing_status,refund_days
67450.71229516849,1,10471.920318766977,1,53.26673024490356
57926.03548243223,3,6137.539390678898,0,57.35681805782446
69715.32807151039,0,3740.2275248545698,1,52.288418451965605
82845.44784612038,2,5695.832156241767,1,46.90027146346182
56487.69937914996,0,8561.277198955415,0,45.23130737134204
56487.945645762295,1,8659.125192642477,1,52.5336073014932
83688.19223261088,3,3849.325263913842,1,64.18184811243862
71511.52093729364,2,5506.367391398598,1,58.918154707576576
52957.88421097572,1,2141.4662406577095,1,60.11262874305704
68138.40065378947,0,6649.337249382859,0,53.026830465818605
53048.734607813065,0,8106.709398111789,0,49.85975552505715
53014.05369644615,3,5079.598908232032,1,59.36487680959494
63629.43407349051,1,3665.2318912797436,0,62.44180972422162
31300.79633013303,1,5720.261902555126,1,53.304049372112836
34126.23251230451,3,5834.918062726332,1,63.2163420368407
51565.68706138541,2,5162.2876636992405,1,54.76236601722072
44807.53319498364,1,5357.430248671906,0,51.74117507484784
64713.709988929106,3,4652.370299061258,1,58.29581849073374
46379.638867181835,1,6991.909856452812,1,52.53795153484503
38815.444479970625,3,6472.454890330254,0,59.1173947732877
81984.73153382332,0,3033.793705711702,1,60.3694840986996
56613.355492701965,0,2978.818793682811,0,61.04769110993738
61012.92307031886,1,4491.251165946876,0,50.354043890944574
38628.77720679815,1,6473.674248210358,0,63.19816082278107
51834.25913212226,0,5296.114827781629,1,37.99679986807251
61663.83884564799,2,3713.6991797546893,1,68.0414226845078
42735.096338665455,3,5523.037193451661,1,56.04043523876396
65635.47027518509,2,4338.378960955456,1,55.713782355787046
50990.419651217926,2,6760.972920448263,1,53.93894588468354
55624.593753100846,2,5666.116870134095,1,57.259910294066806
50974.40081655905,0,4369.443625095712,1,52.62924036857007
87784.17276763407,1,5463.037544092923,1,52.86998651172074
59797.541628930994,2,7630.096119048403,1,59.914495427732525
44134.336065661504,0,3860.739846907245,1,55.967240551847006
72338.17368154784,3,5805.313963294322,1,52.40066676485187
41687.345250434664,1,4859.079319068009,1,57.84429025261061
63132.95392507133,3,5853.967367724199,0,62.7665676481925
30604.948141803365,2,3690.8701168085395,0,57.58276125528536
40077.20926652354,1,5220.670866318752,1,57.740021265492054
62952.91853803685,2,7215.646564833602,1,52.99649042905119
71076.99869993115,1,3125.986037507785,0,57.76564660186671
62570.52421784956,2,2341.1897933498362,0,60.414244619485494
58265.27576417639,3,2417.0888710260715,1,48.44232084421193
55483.444566160666,3,2658.674939599622,1,57.707828395727375
37822.17014448859,2,6190.646575785328,1,58.37521963484268
49202.336874079374,1,2188.280628269069,1,56.699663157212115
53090.41843560319,3,4404.209310512939,1,52.16985854020831
75856.83339328374,1,6236.578606621416,0,60.58657766933877
65154.27434352692,1,5833.318121097187,1,51.67368108118583
33554.39766955899,3,4228.88204007503,0,55.663240506617356
64861.25954092193,0,5381.847463510212,0,65.64821484484486
54223.76579375525,0,5214.290659475137,1,46.51984636808608
49846.16999541062,1,4551.518088903627,1,58.84593946752492
69175.14433261302,3,4578.3305626908395,0,57.57509893303614
75464.99283743926,0,9470.854869513922,1,48.20827930335519
73969.20178674298,2,6618.621807862602,0,52.87047337529652
47411.737151660425,1,9961.301835024286,0,45.84217725860742
55361.81436223178,0,4006.0737341589975,1,55.604938989198054
64968.95147105346,3,4830.0668062237055,1,60.196385919448296
74633.17690683539,3,2335.7484694467053,1,66.38749875164862
52812.38643232065,1,3380.866395820855,0,58.44722395269983
57215.115350042746,3,8803.826297325002,0,68.29793267330746
43404.975389909574,2,3955.931420316487,0,61.38580191686869
42056.900638789935,2,8838.562600288918,1,54.99531080589715
